fixture_id	path	capability	fidelity	line_endings	trailing_newline	categories
mixed-list-markers	fixtures/markdown-fidelity/cases/mixed-list-markers.md	supported	lexically-local	LF	true	unordered-list-markers,ordered-list-markers,nested-list
headings-and-delimiters	fixtures/markdown-fidelity/cases/headings-and-delimiters.md	supported	lexically-local	LF	true	atx-heading,setext-heading,closing-atx,emphasis,strong
code-forms-and-fences	fixtures/markdown-fidelity/cases/code-forms-and-fences.md	supported	lexically-local	LF	true	backtick-fence,tilde-fence,fence-length,indented-code
thematic-break-variants	fixtures/markdown-fidelity/cases/thematic-break-variants.md	supported	lexically-local	LF	true	thematic-break
links-and-references	fixtures/markdown-fidelity/cases/links-and-references.md	supported	lexically-local	LF	true	inline-link,inline-image,reference-link,reference-definition
whitespace-and-blank-lines	fixtures/markdown-fidelity/cases/whitespace-and-blank-lines.md	supported	lexically-local	LF	true	blank-lines,whitespace,indentation
line-endings-lf	fixtures/markdown-fidelity/cases/line-endings-lf.md	supported	byte-stable	LF	true	lf,line-endings
line-endings-crlf	fixtures/markdown-fidelity/cases/line-endings-crlf.md	supported	byte-stable	CRLF	true	crlf,line-endings
line-endings-no-trailing-newline	fixtures/markdown-fidelity/cases/line-endings-no-trailing-newline.md	supported	byte-stable	LF	false	trailing-newline
raw-html-safe	fixtures/markdown-fidelity/cases/raw-html-safe.md	supported	byte-stable	LF	true	raw-html-inline,raw-html-block
raw-html-hostile	fixtures/markdown-fidelity/cases/raw-html-hostile.md	degraded	source-preserved-degraded	LF	true	raw-html-hostile,sanitized-preview
mermaid-success	fixtures/markdown-fidelity/cases/mermaid-success.md	supported	byte-stable	LF	true	mermaid,renderer-success
mermaid-error	fixtures/markdown-fidelity/cases/mermaid-error.md	degraded	source-preserved-degraded	LF	true	mermaid,renderer-error
math-success	fixtures/markdown-fidelity/cases/math-success.md	supported	byte-stable	LF	true	math-inline,math-display,katex,renderer-success
math-error	fixtures/markdown-fidelity/cases/math-error.md	degraded	source-preserved-degraded	LF	true	math-inline,math-display,katex,renderer-error
unknown-extension	fixtures/markdown-fidelity/cases/unknown-extension.md	unsupported	source-preserved-degraded	LF	true	unknown-extension,unsupported-extension,opaque-source
paste-boundaries	fixtures/markdown-fidelity/cases/paste-boundaries.md	intentional-normalization	inserted-payload-only	LF	true	markdown-aware-paste,code-block-literal-paste
repeated-similar-blocks	fixtures/markdown-fidelity/cases/repeated-similar-blocks.md	supported	lexically-local	LF	true	repeated-blocks,source-matching-ambiguity
